あい,愛,ai
えき,駅,eki
いえ,家,ie
ここ,此処,koko
うえ,上,ue
かお,顔,kao
あした,明日,ashita
すし,寿司,sushi
たかい,たかい,takai
ちかてつ,地下鉄,chikatetsu
そと,外,soto
あさ,朝,asa
ひと,人,hito
にく,肉,niku
はし,嘴,hashi
さかな,魚,sakana
おかね,お金,okane
ふく,服,fuku
